endTime,artistName,trackName,count
2024-06-09,Jungeli,Petit génie,6
2024-06-09,Rogue,Let's Talk,4
2024-06-09,Timaya,Cold Outside,4
2024-06-09,Avicii,The Nights,3
2024-06-09,Benson Boone,Beautiful Things,3
2024-06-16,Disturbed,The Sound of Silence - CYRIL Remix,6
2024-06-16,Jungeli,Petit génie,5
2024-06-16,Mark Ambor,Belong Together,5
2024-06-16,Benson Boone,Beautiful Things,4
2024-06-16,CKay,love nwantiti (feat. ElGrande Toto) - North African Remix,4
2024-06-23,Andrea Romano,Beethoven (Moonlight Sonata) Full,4
2024-06-23,Fireboy DML,Peru,3
2024-06-23,Jungeli,Petit génie,3
2024-06-23,Ludwig van Beethoven,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight Sonata"": I. Adagio sostenuto",3
2024-06-23,Solee,March of the giants,3
2024-06-30,Jungeli,Petit génie,7
2024-06-30,Aya Nakamura,42,6
2024-06-30,Aya Nakamura,Copines,5
2024-06-30,melvitto,Santorini Coffee,5
2024-06-30,Afro B,Drogba (Joanna),4
2024-07-07,Jungeli,Petit génie,12
2024-07-07,Afro B,Drogba (Joanna),11
2024-07-07,Benson Boone,Slow It Down,11
2024-07-07,Omah Lay,soso,10
2024-07-07,Aya Nakamura,42,9
2024-07-14,Rogue,Fortress,8
2024-07-14,Benson Boone,Slow It Down,5
2024-07-14,Forrest Frank,NEVER GET USED TO THIS,5
2024-07-14,Rogue,Let's Talk,5
2024-07-14,Conan Gray,People Watching,4
2024-07-21,Forrest Frank,NEVER GET USED TO THIS,9
2024-07-21,Forrest Frank,GOOD DAY,5
2024-07-21,Alicia Keys,You Don't Know My Name,4
2024-07-21,Benson Boone,Slow It Down,4
2024-07-21,Alex Warren,Carry You Home,3
2024-07-28,JVKE,lavender (feat. Pink Sweat$),7
2024-07-28,LDRR,Mangos - Tiktok Version,5
2024-07-28,Forrest Frank,NEVER GET USED TO THIS (with JVKE),4
2024-07-28,JVKE,this is what falling in love feels like,4
2024-07-28,Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",4
2024-08-04,NEFFEX,Losing My Mind,7
2024-08-04,JVKE,lavender (feat. Pink Sweat$),6
2024-08-04,Kubbi,Up in My Jam (All of a Sudden),6
2024-08-04,Snakywine,Classy Kitty,6
2024-08-04,Aya Nakamura,Djadja,4
2024-08-11,Hollywood Principle,Solar Eclipses,18
2024-08-11,Fireboy DML,Peru,9
2024-08-11,Grant,Weapon,9
2024-08-11,Conro,Therapy,6
2024-08-11,Throttle,Cities,6
2024-08-18,Grant,Weapon,9
2024-08-18,Hollywood Principle,Solar Eclipses,4
2024-08-18,Athena,Eternal,2
2024-08-18,Bazzi,Paradise,2
2024-08-18,CHINCHILLA,Little Girl Gone,2
2024-08-25,Hugues Aufray,Santiano,4
2024-08-25,Athena,Eternal,2
2024-08-25,Grant,Color,2
2024-08-25,Grant,Weapon,2
2024-08-25,Hollywood Principle,Solar Eclipses,2
2024-09-01,Haywyre,Never Count On Me,19
2024-09-01,Fairlane,Hypnotize,13
2024-09-01,Innersloth,Hide n Seek Ranch,13
2024-09-01,Grant,Weapon,8
2024-09-01,Rogue,Fortress,8
2024-09-08,Haywyre,Insight,17
2024-09-08,Grant,Weapon,11
2024-09-08,Fairlane,Hypnotize,8
2024-09-08,Haywyre,Never Count On Me,8
2024-09-08,Grant,Castaway,7
2024-09-15,Grant,Dead Man Walking,12
2024-09-15,Trivecta,Break Me,12
2024-09-15,FWLR,Cave Me In,10
2024-09-15,FWLR,Suspicious,9
2024-09-15,Fairlane,Hypnotize,9
2024-09-22,Grant,Weapon,11
2024-09-22,Haywyre,Tell Me - Ellis Remix,11
2024-09-22,Trivecta,Riptide,10
2024-09-22,Trivecta,Break Me,9
2024-09-22,smle,Found A Reason,9
2024-09-29,WRLD,Chase It,15
2024-09-29,Grant,High Enough,9
2024-09-29,Rogue,Fusion,9
2024-09-29,smle,Can't Sleep Alone,9
2024-09-29,Grant,Weapon,8
2024-10-06,Haywyre,Tell Me,15
2024-10-06,WRLD,Everything,13
2024-10-06,Seven Lions,Island (feat. Nevve),12
2024-10-06,WRLD,By Design,11
2024-10-06,WRLD,Chase It,10
2024-10-13,Haywyre,Tell Me,8
2024-10-13,Rogue,Fusion,8
2024-10-13,FWLR,Numb,7
2024-10-13,Seven Lions,Island (feat. Nevve),7
2024-10-13,FWLR,Cave Me In,5
2024-10-20,Seven Lions,Only Now (feat. Tyler Graves),20
2024-10-20,ellis,Feel That Way,15
2024-10-20,Justin OH,Rearview Mirror,13
2024-10-20,ellis,Brand New Phone,13
2024-10-20,Justin OH,Feel Alright,11
2024-10-27,Haywyre,With You,16
2024-10-27,ellis,Orbit,16
2024-10-27,smle,Runnin,15
2024-10-27,Stephen Walking,Hey,14
2024-10-27,ellis,Feel That Way,14
2024-11-03,Seven Lions,Light In The Dark,15
2024-11-03,Half an Orange,Mark Twain - Glacier Remix,14
2024-11-03,Haywyre,With You,8
2024-11-03,ellis,Feel That Way,7
2024-11-03,Seven Lions,Only Now (feat. Tyler Graves),6
2024-11-10,Fireboy DML,Diana,20
2024-11-10,Half an Orange,Buzz Lightyear - WRLD Remix,14
2024-11-10,Half an Orange,Mark Twain - Glacier Remix,14
2024-11-10,Fireboy DML,Peru,13
2024-11-10,Fireboy DML,Sofri,8
2024-11-17,Wande Coal,Come My Way,40
2024-11-17,Fireboy DML,Peru,20
2024-11-17,Fireboy DML,Diana,15
2024-11-17,Half an Orange,Buzz Lightyear - WRLD Remix,11
2024-11-17,Fireboy DML,Sofri,8
2024-11-24,Tems,Love Me JeJe,16
2024-11-24,Fireboy DML,Diana,13
2024-11-24,Trivecta,Now You Know (feat. Aloma Steele),12
2024-11-24,Fireboy DML,Peru,9
2024-11-24,Wande Coal,Come My Way,9
2024-12-01,WRLD,Chase It,13
2024-12-01,Trivecta,Now You Know (feat. Aloma Steele),12
2024-12-01,Duumu,Blinded,10
2024-12-01,Fireboy DML,Diana,9
2024-12-01,Justin OH,Rearview Mirror,9
2024-12-08,Ruger,Toma Toma,24
2024-12-08,WRLD,Wishful Thinking - 2018,17
2024-12-08,Maleek Berry,Lately (feat. Ruger),16
2024-12-08,WRLD,Style,14
2024-12-08,Half an Orange,Buzz Lightyear - WRLD Remix,12
2024-12-15,Ruger,Asiwaju,11
2024-12-15,WRLD,Style,11
2024-12-15,Half an Orange,Buzz Lightyear - WRLD Remix,10
2024-12-15,Sam Bruno,Hello Hater - WRLD Remix,10
2024-12-15,WRLD,Wishful Thinking - 2018,10
2024-12-22,ellis,Falling Through,20
2024-12-22,Insan3lik3,You Make Me Go - Original Mix,10
2024-12-22,Ruger,Toma Toma,8
2024-12-22,Anevo,Feel Something,6
2024-12-22,Half an Orange,Buzz Lightyear - WRLD Remix,6
2024-12-29,Stromae,Formidable,14
2024-12-29,Stromae,Tous les mêmes,12
2024-12-29,Stromae,L’enfer,9
2024-12-29,Grant,Without You,8
2024-12-29,soupandreas,Tumbling Down,7
2025-01-05,Grant,Without You,14
2025-01-05,Conro,Kick It,13
2025-01-05,soupandreas,Tumbling Down,8
2025-01-05,Anevo,Feel Something,6
2025-01-05,Zedd,Tangerine Rays (feat. Bea Miller),6
2025-01-12,Conro,Kick It,9
2025-01-12,Haywyre,Contagious,8
2025-01-12,Haywyre,Wisdom,7
