artistName,albumName,trackName,uri
Seven Lions,Worlds Apart,Strangers,spotify:track:4oaOiFsrOQFqRnIU3hg3cM
Duumu,What Feels Right,What Feels Right,spotify:track:5CQsCAsc0XGQeQ2mE9zctv
DEXTER KING,Unbroken,Unbroken,spotify:track:7siOB9qcbejPmH2bkqR3su
American Authors,"Oh, What A Life",Best Day Of My Life,spotify:track:5Hroj5K7vLpIG4FNCRIjbP
Jungeli,T’étais où ?,T’étais où ?,spotify:track:1q6nM8Y7NJDsgFknLfZfp4
1da Banton,Original Vibe Machine,No Wahala,spotify:track:4vHy2IHzf3EabEa7oMpUZB
SVRRIC,Fall To My Grave,Fall To My Grave,spotify:track:3Wbf44T1f7SiRNMvI5ojit
Zedd,Telos,Tangerine Rays (feat. Bea Miller),spotify:track:5D5UVZe2jPOiYrmPjjBhNa
Arlow,Feel So Lucky,Feel So Lucky,spotify:track:5s0DbNdLAsYbEvDH29tLIV
AdhesiveWombat,Marsupial Madness,8 Bit Adventure,spotify:track:5Cw6SX4MtdaOvM0GbN5g7j
Tame Impala,Currents,The Less I Know The Better,spotify:track:6K4t31amVTZDgR3sKmwUJJ
Ogryzek,EMPIRE,EMPIRE,spotify:track:7vJ8crYEBNT45NNAdnNoQL
Ruger,RnB,POE,spotify:track:52Krs3LCqtcfeiWUvhxncK
Aya Nakamura,42,42,spotify:track:1xHHbz3YLEbqAuQFkM9Zcg
JVKE,this is what losing someone feels like,this is what losing someone feels like,spotify:track:38tKvVe3iURKRFm5X50zLZ
Lost Sky,Darkness,Darkness,spotify:track:2yT6EsKV5GBdd9AO8gd4JJ
Forrest Frank,CHILD OF GOD,NEVER GET USED TO THIS,spotify:track:25f7KnoDqO7nBbPahi15UE
AL3JANDRO,Bury Me with My Gold,So Good,spotify:track:4VBuBhcj7DZwOFTBrZvt1T
Zara Larsson,So Good,Lush Life,spotify:track:1rIKgCH4H52lrvDcz50hS8
melvitto,soon.,Stay (feat. Gabzy),spotify:track:3lMM7eyZ5SeYK1SoZCnmA4
Carly Rae Jepsen,Kiss,Call Me Maybe,spotify:track:20I6sIOMTCkB6w7ryavxtO
James Clarke,Mystery Movie,Relaxed Scene,spotify:track:7oZMxikk5ISnp4pDjwtvQ7
Aya Nakamura,AYA,Jolie nana,spotify:track:65RWVU6N81CeH65nu52K1U
Major Lazer,Music is the Weapon,Que Calor,spotify:track:2jozk0z8f2VISmr83Leyqh
Fairlane,Genesis,Someone Just Like You,spotify:track:5zRer4n5KXcwXLgbvs4w4A
smle,Halo,Halo,spotify:track:2M6AoWQC8nS8xNbSxl3FQA
Wizkid,Morayo,Bad Girl (feat. Asake),spotify:track:2j8n2hpZlEMvtrjJ7n0ZIy
Franglish,Prime,Position,spotify:track:3Zw66L4FvI9YUUx17OReRD
Fireboy DML,APOLLO,Lifestyle,spotify:track:5hXEPdj7dDxfKcowpjiVwf
Ruger,RnB,Romeo Must Die (RMD),spotify:track:4EoYs4KY7oHQpJPTuxD7mU
Doechii,Anxiety,Anxiety,spotify:track:1musbempyJAw5gfSKZHXP9
Tesher,Jalebi Baby (Tesher x Jason Derulo),Jalebi Baby (Tesher x Jason Derulo),spotify:track:6FvSS3Goz7OC8oCC2eWqe8
Kizz Daniel,Barnabas,Pour Me Water,spotify:track:1DrfpnLvbwndPScRLwbUE0
ellis,After Hours,After Hours,spotify:track:0meHszPk08ii2db4GNqS83
Koven,My Love,My Love,spotify:track:2Cy79UEoegeiHJ8gxbqrGV
Smaven,Mafana,Mafana,spotify:track:71gDUvJlPsx5M8ikduhqbs
Ed Sheeran,=,Shivers,spotify:track:50nfwKoDiSYg8zOCREWAm5
JJD,Lighthouse,Lighthouse,spotify:track:1MFnrx6HSx4whenAmvJtna
Maazel,Mirrors,Mirrors,spotify:track:59j1aFqihFjuwZzii7lIYP
Benson Boone,Fireworks & Rollerblades,Beautiful Things,spotify:track:3xkHsmpQCBMytMJNiDf3Ii
