artistName,trackName,0
Grant,Weapon,129
Rogue,Fortress,111
Half an Orange,Buzz Lightyear - WRLD Remix,99
WRLD,Chase It,97
Half an Orange,Mark Twain - Glacier Remix,89
Fairlane,Hypnotize,86
smle,Runnin,81
Fireboy DML,Peru,74
Haywyre,With You,72
Rogue,Fusion,72
Haywyre,Tell Me - Ellis Remix,71
Wande Coal,Come My Way,68
Rogue,Let's Talk,68
Fireboy DML,Diana,67
FWLR,Cave Me In,65
WRLD,Wishful Thinking - 2018,64
ellis,Feel That Way,63
Grant,Dead Man Walking,62
Haywyre,Never Count On Me,61
Haywyre,Tell Me,59
Ruger,Toma Toma,59
Grant,Without You,58
Trivecta,Break Me,58
WRLD,Style,57
ellis,Brand New Phone,55
ellis,Speak Français,55
WRLD,Little Too Close,54
Seven Lions,Only Now (feat. Tyler Graves),53
Justin OH,Rearview Mirror,53
Haywyre,Insight,52
ellis,Orbit,51
Ruger,Asiwaju,51
Hollywood Principle,Solar Eclipses,51
ellis,Don't Say Ur Sorry,49
WRLD,Everything,48
Jungeli,Petit génie,48
FWLR,Suspicious,46
Seven Lions,Island (feat. Nevve),46
Haywyre,Let Me Hear That,45
Rob Gasser,Vertigo,44
Duumu,Blinded,43
Tems,Love Me JeJe,42
The Night,Different Story,41
Rogue,Starlight,40
ellis,Falling Through,40
Fireboy DML,Bandana,39
Grant,Castaway,39
Justin OH,Feel Alright,39
Stephen Walking,Hey,39
Duumu,Talk!,39
Grant,High Enough,38
smle,Stranded,38
Sam Bruno,Hello Hater - WRLD Remix,37
Trivecta,Now You Know (feat. Aloma Steele),37
Haywyre,White Lie,37
Rogue,Oceans,37
soupandreas,Tumbling Down,36
Grant,The Edge,36
Throttle,Cities,36
JVKE,lavender (feat. Pink Sweat$),36
Rogue,Mirage,36
Conro,Kick It,36
Fairlane,Enough,36
Haywyre,Chromatically,35
Time To Talk,Found You,35
ellis,promises,35
Zedd,Tangerine Rays (feat. Bea Miller),35
Cinema Kid,Lost Time,35
Sarz,Happiness (feat. Asake & Gunna),34
JJD,Just A Minute More,33
JJD,Somebody Like Me,33
inverness,Good Feeling,33
Summer Was Fun,Love Back On,33
Pheelz,Finesse,33
DESERT STAR,Edge of the World,33
Hoaprox,Saviour,32
Haywyre,Contagious,32
Kovan,Brokenhearted,32
Benson Boone,Slow It Down,32
Anevo,Feel Something,32
Maleek Berry,Lately (feat. Ruger),32
Grant,Move On,32
ellis,Clear My Head,31
Ayra Starr,Commas,31
WRLD,By Design,30
Hollywood Principle,Firework,30
Azertion,Reality (ft. Dayce Williams),29
Insan3lik3,You Make Me Go - Original Mix,29
Duumu,Intentions,29
Aya Nakamura,Copines,29
Time To Talk,Street Lights (Ft. Axollo),29
FWLR,Numb,29
smle,Can't Sleep Alone,28
Athena,Eternal,28
Hoaprox,New World,28
Grant,Color,28
Time To Talk,Time To Talk,28
ellis,After Hours,27
Seven Lions,Light In The Dark,27
Cartoon,Omen,27
Wande Coal,Again,27
JJD,A New Adventure,27
Ogryzek,AURA,27
Jay Cosmic,Ocean Eyes,27
Stephen Walking,Glide,27
Rogue,Barbed Wire,27
Tokyo Machine,Silver Lining,27
Grant,Are We Still Young,26
Conro,Therapy,26
DEXTER KING,Read Your Lips,26
DEXTER KING,Only You,26
Vindata,Good 4 Me,26
smle,Found A Reason,26
Travis Scott,FE!N (feat. Playboi Carti),26
Haywyre,Wisdom,25
Notaker,Each Other,25
Unknown Artist,Unknown Track,25
Anevo,Don't Shoot Me Down,25
Tokyo Machine,Last Summer,25
Conro,luv(drunk),25
Fairlane,Panic Room,25
Gabzy,Jambazz,24
Maazel,Another Way,24
Maazel,Right Now,24
Aya Nakamura,Djadja,24
Arlow,Freefall,24
Lil Nas X,MONTERO (Call Me By Your Name),24
Tom Wilson,Be Myself,24
Kizz Daniel,Cough (Odo),24
Blanke,Heavy Heart,23
Fireboy DML,Sofri,23
Afro B,Drogba (Joanna),23
Rogue,Emeralds,23
Aya Nakamura,42,23
Auvic,Embers Inside,23
Fairlane,Someone Just Like You,23
Omah Lay,soso,23
Olamide,Infinity (feat. Omah Lay),22
Snareskin,Even LA,22
Rogue,Move Me,22
Rogue,Fury,22
CKay,love nwantiti (ah ah ah),22
Trivecta,Riptide,21
CKay,emiliana,21
Savoi,Hideaway,21
Forrest Frank,NEVER GET USED TO THIS,20
Pixel Terror,Millennia,20
Scythermane,NUNCA MUDA? - Super Slowed,20
JKuch,Data Loss,20
Arlow,Frozen In Time (feat. Introspect),20
Rogue,Empires,20
Conro,All Me,20
ellis,Caught in the Rays (Intro),20
Trivecta,Tornado,19
WRLD,Rooms,19
ellis,The Taste,19
DEXTER KING,Get to Know You,19
melvitto,Santorini Coffee,19
JVKE,clouds,19
