artistName,trackName,msPlayed
WRLD,Chase It,274.9619
Grant,Weapon,274.5634
Rogue,Fortress,271.5337666666667
Haywyre,With You,238.15886666666665
Half an Orange,Mark Twain - Glacier Remix,232.1425
Fairlane,Hypnotize,219.87276666666668
Haywyre,Tell Me,216.54125
Half an Orange,Buzz Lightyear - WRLD Remix,207.89183333333332
Rogue,Let's Talk,207.01261666666667
Grant,Without You,186.42785
Seven Lions,Island (feat. Nevve),184.2947
Trivecta,Break Me,173.37445
WRLD,Everything,169.9039
smle,Runnin,169.2932
Fireboy DML,Diana,167.01111666666668
Fireboy DML,Peru,163.58671666666666
Wande Coal,Come My Way,162.80105
WRLD,Wishful Thinking - 2018,156.85921666666667
WRLD,Style,152.90426666666667
Seven Lions,Only Now (feat. Tyler Graves),147.29178333333334
WRLD,Little Too Close,147.28988333333334
Rob Gasser,Vertigo,146.24846666666667
ellis,Feel That Way,146.15461666666667
BLAEKER,Pretty Awkward,144.04138333333333
Rogue,Fusion,143.13906666666668
Ruger,Toma Toma,143.00425
Ruger,Asiwaju,141.63775
Haywyre,Tell Me - Ellis Remix,141.63766666666666
FWLR,Cave Me In,140.91673333333333
Jungeli,Petit génie,139.06876666666668
ellis,Orbit,137.00178333333332
Haywyre,Never Count On Me,136.12015
Grant,Dead Man Walking,136.00958333333332
Duumu,Talk!,133.11468333333335
Spectrum,Take You There,129.67183333333332
Haywyre,Insight,129.51281666666668
Lost Sky,Vision pt. II,124.38005
Mindme,Bruises,123.10068333333334
Fairlane,Enough,121.75961666666667
ellis,Falling Through,120.2497
Haywyre,Let Me Hear That,119.90296666666667
ellis,Brand New Phone,118.03008333333334
ellis,Clear My Head,115.83573333333334
Velee,Living In Your Messages,114.42241666666666
Daxten,About to Explode,110.51996666666666
Stephen Walking,Hey,107.69026666666667
The Night,Different Story,106.51028333333333
smle,Stranded,104.69168333333333
Cinema Kid,Lost Time,104.41441666666667
Hollywood Principle,Solar Eclipses,103.1278
Duumu,Blinded,101.58473333333333
Lensko,Let's Go!,101.42603333333334
Rogue,Mirage,101.13951666666667
Rogue,Oceans,101.01083333333334
Hallmore,Piece of Me,100.1835
Trivecta,Now You Know (feat. Aloma Steele),100.1045
Seven Lions,Light In The Dark,98.44635
Deanz,Let Me Drown,97.94886666666666
Zedd,Tangerine Rays (feat. Bea Miller),97.8387
Summer Was Fun,Love Back On,97.27451666666667
Justin OH,Rearview Mirror,96.84995
Duumu,Intentions,95.77131666666666
Anevo,Don't Shoot Me Down,95.70591666666667
Rogue,Starlight,94.34333333333333
Time To Talk,Found You,94.18148333333333
Haywyre,Chromatically,92.8647
ellis,Speak Français,92.48033333333333
Conro,Kick It,91.93973333333334
WRLD,By Design,91.59636666666667
Zack Merci,Into The Wild,91.27165
Haywyre,White Lie,89.76126666666667
Time To Talk,Time To Talk,89.74628333333334
CG5,Locked Away,87.69583333333334
ellis,Don't Say Ur Sorry,87.41446666666667
Zanders,Polar Night,87.3324
Snareskin,Even LA,86.19438333333333
Grant,The Edge,85.37448333333333
Haywyre,Contagious,84.36143333333334
Glacier,Enough,83.65833333333333
FWLR,Suspicious,83.52251666666666
Janusz Olejniczak,"Polonaise in F Minor, WN 12",82.57833333333333
soupandreas,Tumbling Down,81.74583333333334
PNL,Deux frères,81.71173333333333
Hollywood Principle,Firework,81.40673333333334
Lost Sky,Darkness,80.98445
Sam Bruno,Hello Hater - WRLD Remix,80.37295
JJD,Just A Minute More,79.74151666666667
JJD,A New Adventure,79.73276666666666
FWLR,Numb,79.70355
Pheelz,Finesse,79.59756666666667
Tems,Love Me JeJe,79.50736666666667
Aya Nakamura,Copines,79.19701666666667
