endTime,artistName,trackName,count
2023-11-30 00:00:00+00:00,Naima,On the Run,2
2023-12-31 00:00:00+00:00,David Guetta,2U (feat. Justin Bieber),1
2023-12-31 00:00:00+00:00,Naima,Du willst mehr,1
2023-12-31 00:00:00+00:00,Naima,Sterne - Radio Edit,1
2023-12-31 00:00:00+00:00,Naima,Wiedersehen - Akustik Version,1
2023-12-31 00:00:00+00:00,SZA,Snooze (Acoustic) (feat. Justin Bieber),1
2024-01-31 00:00:00+00:00,Hotel Ugly,Shut up My Moms Calling (Sped up),1
2024-01-31 00:00:00+00:00,JVKE,golden hour,1
2024-01-31 00:00:00+00:00,JVKE,this is what space feels like,1
2024-02-29 00:00:00+00:00,noturgf,It's Called: Freefall - Sped Up,8
2024-02-29 00:00:00+00:00,JOYCA,Clash Assassins,5
2024-02-29 00:00:00+00:00,JVKE,this is what autumn feels like,5
2024-02-29 00:00:00+00:00,JVKE,this is what space feels like,5
2024-02-29 00:00:00+00:00,JVKE,save your breath,4
2024-03-31 00:00:00+00:00,JVKE,Upside Down,1
2024-03-31 00:00:00+00:00,Martin Garrix,Hero,1
2024-04-30 00:00:00+00:00,Le Rat,Où est le Rat !?,3
2024-04-30 00:00:00+00:00,The Chainsmokers,All We Know,2
2024-04-30 00:00:00+00:00,Ed Sheeran,Shape of You,1
2024-04-30 00:00:00+00:00,JVKE,golden hour,1
2024-04-30 00:00:00+00:00,Jhung,ALWAYS THE END,1
2024-05-31 00:00:00+00:00,Rema,Calm Down,11
2024-05-31 00:00:00+00:00,Lucenzo,Mambella,6
2024-05-31 00:00:00+00:00,The Chainsmokers,Something Just Like This,6
2024-05-31 00:00:00+00:00,Ed Sheeran,Shape of You,5
2024-05-31 00:00:00+00:00,CG5,Lyin' 2 Me,4
2024-06-30 00:00:00+00:00,Jungeli,Petit génie,23
2024-06-30 00:00:00+00:00,Rogue,Let's Talk,19
2024-06-30 00:00:00+00:00,Aya Nakamura,Copines,14
2024-06-30 00:00:00+00:00,Fireboy DML,Bandana,11
2024-06-30 00:00:00+00:00,Solee,March of the giants,10
2024-07-31 00:00:00+00:00,Benson Boone,Slow It Down,23
2024-07-31 00:00:00+00:00,Forrest Frank,NEVER GET USED TO THIS,18
2024-07-31 00:00:00+00:00,Jungeli,Petit génie,15
2024-07-31 00:00:00+00:00,Ayra Starr,Commas,14
2024-07-31 00:00:00+00:00,Rogue,Fortress,14
2024-08-31 00:00:00+00:00,Hollywood Principle,Solar Eclipses,28
2024-08-31 00:00:00+00:00,Grant,Weapon,27
2024-08-31 00:00:00+00:00,Haywyre,Never Count On Me,20
2024-08-31 00:00:00+00:00,Fireboy DML,Peru,16
2024-08-31 00:00:00+00:00,Throttle,Cities,16
2024-09-30 00:00:00+00:00,Grant,Weapon,40
2024-09-30 00:00:00+00:00,Haywyre,Insight,35
2024-09-30 00:00:00+00:00,Grant,Dead Man Walking,33
2024-09-30 00:00:00+00:00,Trivecta,Break Me,33
2024-09-30 00:00:00+00:00,Fairlane,Hypnotize,32
2024-10-31 00:00:00+00:00,Seven Lions,Only Now (feat. Tyler Graves),37
2024-10-31 00:00:00+00:00,ellis,Feel That Way,36
2024-10-31 00:00:00+00:00,Haywyre,Tell Me,35
2024-10-31 00:00:00+00:00,Seven Lions,Island (feat. Nevve),32
2024-10-31 00:00:00+00:00,WRLD,Chase It,31
2024-11-30 00:00:00+00:00,Fireboy DML,Diana,57
2024-11-30 00:00:00+00:00,Wande Coal,Come My Way,55
2024-11-30 00:00:00+00:00,Half an Orange,Mark Twain - Glacier Remix,46
2024-11-30 00:00:00+00:00,Fireboy DML,Peru,45
2024-11-30 00:00:00+00:00,Half an Orange,Buzz Lightyear - WRLD Remix,41
2024-12-31 00:00:00+00:00,Ruger,Toma Toma,45
2024-12-31 00:00:00+00:00,WRLD,Wishful Thinking - 2018,40
2024-12-31 00:00:00+00:00,WRLD,Style,35
2024-12-31 00:00:00+00:00,Ruger,Asiwaju,34
