artistName,albumName,trackName,uri
Savoi,Hideaway,Hideaway,spotify:track:0GU1YGajWqme71IZpRbwhF
Vitaa,VersuS,Avant toi,spotify:track:4iNPp0BZ4lBu7bipdWLcWk
Half an Orange,Mostly We Grow Trilogy,Mark Twain,spotify:track:5AjbldwVyAeAfO5azzDPIO
NF,The Search,The Search - Edit,spotify:track:4tZDUt8vHpvjfOXcHwOvtq
Skybreak,Comet,Comet,spotify:track:0klFHFJRTKtNQ8uX9tgs0Q
BLAEKER,9 To 5,Waste Our Time,spotify:track:6Tx2iFRQgEbdqQwyv0vOMr
Cartoon,On & On,On & On,spotify:track:2uZWffKoemZDI0gHcBEcDc
WRLD,Chase It,Echo,spotify:track:69b9S93kHT979Iw3rvev89
Hollywood Principle,Starting Over (Deluxe Edition),Seeing What's Next - Kev Frey Remix,spotify:track:7MVaOUfZO4hSBjj88l6Udu
Vicetone,Walk Thru Fire,Walk Thru Fire,spotify:track:2wQ411UQL2MRsdAgPRUstT
Hollywood Principle,Play,Spell (Radio Edit) - Sando Remix,spotify:track:1DmDx8LbqoKf73E1zEv0wY
Wande Coal,Come My Way,Come My Way,spotify:track:3PnkEOvEKu7s2qQJ5mHpNl
Connor Price,Spin The Globe,Spinnin,spotify:track:4r0kug4vaNx3d8qyDLhQes
Ruth B.,Safe Haven,Dandelions,spotify:track:2eAvDnpXP5W0cVtiI0PUxV
Syn Cole,Drift,Drift,spotify:track:1nN4hImiv5VUApR5bnqrvS
Deanz,Help You Let It Go,Help You Let It Go,spotify:track:47ShmiSVP4RbzK5GwHX6NM
Connor Kauffman,Echoes,Echoes,spotify:track:5zhNAr6KbzWrDZoTL3jxfH
Zanders,Polar Night,Polar Night,spotify:track:51nmQwJJLvSzmPEVAyB8Cq
Brook Xiao,Fire,Fire,spotify:track:65uwQUjuHUMUhKPbeR7Na6
Starjunk 95,Virtual Paradise,Ocean's End,spotify:track:4GGnkBcKLb6P8yf7vKO0Rz
Aero Chord,Shadows,Shadows,spotify:track:3mnSawKqEsmgRD9HjHXrrl
Emei,Scatterbrain,Scatterbrain,spotify:track:0LVdV9NG0y0ROxbYLpjbKc
Axollo,Versailles,Versailles,spotify:track:4siJOVaRpyJ0v1nHjeY7Dn
Grant,The Edge,The Edge,spotify:track:2P8MOT07PrPiTjqNPKWVsp
Disero,Thinking Bout You,Thinking Bout You,spotify:track:1a8v8QKMFsdjUSCZzg2mDC
Half an Orange,Mostly We Grow Trilogy,Left Behind,spotify:track:2UyNY6BvZ9V6Kn10a7W6jH
Siine,Better Came Along,Shot Away,spotify:track:54pFKTyfarvFgBKMOOoun4
Duumu,Keep You,Keep You,spotify:track:0yxqE17S8mauxiv10mMVS0
Hallman,Honesty,You Blow My Mind,spotify:track:3HR6iv54AFQEWcPQxDOXjp
Janusz Olejniczak,Chopin: National Edition [B] Vol. 1 - Polonaises [B],"Polonaise in F Minor, WN 12",spotify:track:0vvWu1r03Ar7gpb1xKwb4f
Kadant,Collide Again,In It,spotify:track:3ij1Hj5poXxTTB7rW5hBEa
Fireboy DML,APOLLO,Lifestyle,spotify:track:5hXEPdj7dDxfKcowpjiVwf
Mindme,Bruises,Lasting,spotify:track:4rTjwTmQlVIcPqe7BBOG4X
Bob Sinclar,Rock This Party (Everybody Dance Now),Rock This Party (Everybody Dance Now),spotify:track:5qiIxojpo8YTFgOOcDuOaB
Facading,Freefalling,Freefalling,spotify:track:6yJgehZ2fX5QkiCPNbi7mC
Sheet Music Boss,Rush Collection,Rush E,spotify:track:7CBN7Kwx1g8SBJZyUbhHc6
Deanz,Recoup,Love Me Like That,spotify:track:41snJYzDRJNbpzEMtSdzlt
k?d,CAGE SCRIPT,PROTECT ME,spotify:track:25IKQf7q26ktWb3JluaM2U
WRLD,Chase It,Style,spotify:track:6eU9JuPk9JFehr1ET7p7jz
Kovan,Skyline Pt. II,Skyline Pt. II,spotify:track:0lr3uoQGBxdiYrhmjSat9Q
Justin Caruso,Your Move,Your Move,spotify:track:6HNTfx84zrNwNWcxgLFfnn
Zero Hero,Rocket League x Monstercat Vol. 1,Twilight,spotify:track:24gYjiaTKffptpoiWbNMbp
Blanke,Heavy Heart,Heavy Heart,spotify:track:2Cg5nw3PsrHYudEux8IBcT
FWLR,Numb,Numb,spotify:track:630NiPTctVxSOSXaqFdPVS
Benson Boone,ROOM FOR 2,ROOM FOR 2,spotify:track:7wfxf9QXBIWgBx1aG5QWhR
Daxten,Fall into Place,Fall into Place,spotify:track:0DDuEYy0fCaMWthGIB66ih
Hoober,Higher,Higher,spotify:track:4Fg3V6pxHc5Qf1wrfnTOy1
Burna Boy,"Love, Damini",For My Hand (feat. Ed Sheeran),spotify:track:3ltc9j6uh3LvO7FuXm6Ix3
Snareskin,Never Lost,Never Lost,spotify:track:3gePqWfZhL0urTqhwMVKnd
NF,The Search,The Search,spotify:track:2OKo7g3KfmCt3kyLvUAL0g
Djo,DECIDE,End of Beginning,spotify:track:3qhlB30KknSejmIvZZLjOD
Vincent Lagaf',Bo le lavabo,Bo le lavabo,spotify:track:3cBEzRJdXjhMp1Foanxrea
Fireboy DML,Playboy,Bandana,spotify:track:2qWwuCVeMjF9mUT0S5Iqvl
Netrum,Phoenix,Phoenix,spotify:track:3SuxtjdFxY3RIaWyPgtkfk
Haywyre,Panorama: Form,With You,spotify:track:3gCF6JWBIyUxkKSA5GjCPR
JJD,A New Adventure,A New Adventure,spotify:track:04r5klWM74XGaS9cKB8COE
Doechii,Anxiety,Anxiety,spotify:track:1musbempyJAw5gfSKZHXP9
Captainsparklez,Revenge,Revenge,spotify:track:0z3XcxcrqvWe36Dtgiqrh0
Dua Lipa,Training Season,Training Season,spotify:track:2UrKwpJwcoOlYZpooWD1hY
TOKYOSLEEP,Phonk Para a Loucura,Phonk Para a Loucura,spotify:track:06R3d9NRja2ucOAUbZiAYK
Dasloe,"sunny day, sunny day","sunny day, sunny day",spotify:track:5cz0GmNXswahLXKmq8kOmT
Grant,Castaway,Castaway,spotify:track:63psBh1jACfpWZtpZQZbVM
Tayc,Fleur froide,Le temps,spotify:track:6yIh43XrY4Mc5xOxeagVhp
WiDE AWAKE,Love Me,Love Me,spotify:track:6OkP1t5se0cYZTfnNE5gC4
The Weeknd,Starboy,Starboy,spotify:track:7MXVkk9YMctZqd1Srtv4MB
WRLD,Chase It,Chase It,spotify:track:5bGy2uC2zUDmveSkq6Fnoo
Kizz Daniel,Maverick,My G,spotify:track:25k1dcqUAmq4uYKUFj7u3o
Kevin Chung,Out of Luck,Out of Luck - Johnny Chay Remix,spotify:track:2xBC1bZmQFCiSw3qHpbs3w
Henry Moodie,in all of my lonely nights,drunk text,spotify:track:6EIMUjQ7Q8Zr2VtIUik4He
Haywyre,Two Fold Pt. 2,I Am You,spotify:track:5r4M8tnr4Qk1ziI5iAWZe2
ellis,Recollection Prospective,Unfold,spotify:track:1iG0qH5EesfjYu8h9d62Fp
Tails,tic tac toe,tic tac toe,spotify:track:60fqiqUhq1UPpk6j3ayguB
Katnip,Summer State Of Mind,Summer State of Mind,spotify:track:1yiQOjhDcrkgv0bjrQuhwc
Alder,Paperblade,Paperblade,spotify:track:4Lno6W6tZWB4WuiEgHtvLP
Duumu,Wash Away,Wash Away,spotify:track:5Hgh63s66Qzo9IMdJvppST
WRLD,Chase It,Little Too Close,spotify:track:4FJQhrYrmnUnmbQyKlyHfq
BLAEKER,Pretty Awkward,Pretty Awkward,spotify:track:589NTUMjd99DFDMf42fW4m
Fly By Midnight,Fictional Illustrations,In The Night,spotify:track:6QMWZGwkpUS7RtgRgRcW5x
Soprano,Facile à danser,Facile à danser,spotify:track:2LCUvL8ZJ49z6uP1cGXSFi
